徽县	HYY
佳木斯	JMB
德伯斯	RDT
徘徊北	PHP
伊图里河	YEX
图强	TQX
德令哈	DHO
德州东	DIP
伊尔施	YET
呼和浩特东	NDC
呼和浩特	HHC
帽儿山	MRB
尼勒克	NIR
徐州东	UUH
伊宁东	YNR
德安	DAG
德州	DZP
彭泽	PZG
归流河	GHT
伊拉哈	YLX
德昌	DVW
德清西	MOH
余杭	EVH
开江	KAW
开原西	KXT
丽江	LHM
弥渡	MDF
彭水	PHW
丽水	USH
微子镇	WQP
徐水	XSP
伊春	YCB
余江	YHG
伊林	YLB
彰武	ZWD
德惠	DHT
德惠西	DXT
佛山	FSQ
呼兰	HUB
开安	KAT
开封	KFF
开原	KYT
低庄	DVQ
彭山	PSW
图们	TML
会同	VTQ
徐州	XCH
徐家	XJB
依安	YAX
伊宁	YMR
余姚	YYH
余粮堡	YLD
低窝铺	DWJ
宽甸	KDT
呼鲁斯太	VTJ
开鲁	KLC
得耳布尔	DRX
弋阳东	YIG
当阳	DYN
德阳	DYW
彭阳	PYJ
图里河	TEX
彝良	ALW
侯马	HMV
开通	KTT
徐闻	XJQ
张家口南	ZMP
张家口	ZKP
张家界	DIQ
张桥	ZQY
张掖	ZYJ
张兰	ZLV
张百湾	ZUP
张维屯	ZWB
张辛	ZIP
乾安	QOT
干沟	GGL
干塘	GNJ
平岗	PGL
平峪	PYP
平关	PGM
平型关	PGV
平凉南	POJ
平原堡	PPJ
平河口	PHM
平泉	PQP
平旺	PWV
平房	PFB
平果	PGZ
平安驿	PNO
平洋	PYX
平安镇	PZT
平庄南	PND
平庄	PZD
平安	PAL
平凉	PIJ
平山	PSB
平台	PVT
平原	PYK
乳山	ROK
平社	PSV
平田	PTM
平顶山西	BFF
平顶山	PEN
平邑	PIK
平遥	PYV
乌伊岭	WPB
广德	GRH
丹徒	RUH
乐平市	LPG
义乌	YWH
乌兰哈达	WLC
乌尔旗汗	WHX
乌兰浩特	WWT
乐善村	LUM
广州北	GBQ
广州东	GGQ
广南卫	GNM
广州南	IZQ
夹心子	JXT
广宁寺	GNT
丹凤	DGY
丹东	DUT
乌奴耳	WRX
乌拉山	WSC
乌拉特前旗	WQC
乌海西	WXC
广汉	GHW
广水	GSN
九江	JJG
乐昌	LCQ
乃林	NLD
容桂	RUQ
乐清	UPH
乌海	WVC
广元	GYW
广州	GZQ
九台	JTL
容县	RXZ
九三	SSX
乐山	UTW
广安	VJW
尹地	YDM
义县	YXD
乐都	LDO
乌鲁木齐	WMR
丹阳北	EXH
丹阳	DYH
对青山	DQB
广通	GOM
乌西	WXR
义马	YMF
岳家井	YGJ
岳阳东	YIQ
岳阳	YYQ
岩会	AEP
岱岳	RYV
岢岚	KLV
岔江	CAM
岑溪	CNZ
哲里木	ZLC
峻德	JDB
峡江	EJG
关林	GLF
峨眉	EMW
峨边	EBW
小得江	EJM
安图	ATL
大德	DEM
巴彦高勒	BAC
喜德	EDW
兴国	EUG
化德	HGC
介休	JXV
宁德	NES
宁国	NNH
常德	VGQ
宜宾	YBW
友好	YOB
一平浪	YIM
大平房	DPD
南平南	NNS
四平东	PPT
安平	APT
南平	NPS
四平	SPT
和平	VAQ
兴平	XPY
原平	YPV
安广	AGT
巩义南	GYF
三义井	OYD
博乐	BOR
东乡	DXG
丰乐镇	FZB
巩义	GXF
华容	HRN
南丹	NDZ
内乡	NXF
宁乡	NXQ
山丹	SDJ
天义	TND
万乐	WEB
万年	WWG
兴义	XRZ
嵯岗	CAX
带岭	DLB
寒岭	HAT
兰岗	LNB
南岔	NCB
偏岭	PNT
天岗	TGL
小岭	XLB
南关岭	NLT
嘉峪关	JGJ
南峪	NUP
三关口	OKJ
奇峰塔	QVP
嘉峰	JFF
大关	RGW
博克图	BKX
布列开	BLR
仪征	UZH
太平川	TIT
太平镇	TEB
公主岭南	GBT
公主岭	GLT
孟家岗	MGB
司家岭	OLK
娘子关	NIP
太原北	TBV
太原东	TDV
太姥山	TLS
包头东	BDC
保定东	BMP
宝华山	BWH
北屯市	BXR
大口屯	DKP
定州东	DOP
安定	ADP
大官屯	DTT
唐家湾	PDQ
工农湖	GRT
太湖	TKH
克一河	KHX
刘家河	LVT
七台河	QTB
大兴沟	DXL
大其拉哈	DQX
和什托洛盖	VSR
吐列毛杜	TMD
嘉善南	EAH
哈尔滨东	VBB
姚千户屯	YQT
创业村	CEX
哈尔滨西	VAB
哈尔滨	HBB
下台子	EIP
四合永	OHD
嘉兴南	EPH
常州北	ESH
塔尔气	TVX
富县东	FDY
凤凰城	FHT
丰城南	FNG
唐山北	FUP
孤家子	GKT
孤山口	GSP
华山北	HDY
哈密南	HLR
安家	AJB
喀喇其	KQX
廊坊北	LFP
兰州东	LVJ
南博山	NBK
南宫东	NFP
南口前	NKT
南城司	NSP
官字井	GOT
南大庙	NMP
三家店	ODP
